"Year Month","State","Countym","Industry","Suspicious Activity","Count"
"2020 March","Tennessee","Henry County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 March","Tennessee","Henry County, TN","Depository Institution","Other Other Suspicious Activities","2"
"2020 March","Tennessee","Henry County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","4"
"2020 March","Tennessee","Henry County, TN","Depository Institution","Transaction(s) Below CTR Threshold","9"
"2020 March","Tennessee","Henry County, TN","Depository Institution","Unlicensed or Unregistered MSB","1"
"2020 March","Tennessee","Henry County, TN","Depository Institution","[Total]","20"
"2020 March","Tennessee","Houston County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 March","Tennessee","Houston County, TN","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 March","Tennessee","Houston County, TN","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 March","Tennessee","Houston County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Houston County, TN","Depository Institution","[Total]","4"
"2020 March","Tennessee","Humphreys County, TN","Depository Institution","Check","1"
"2020 March","Tennessee","Humphreys County, TN","Depository Institution","Forgeries","1"
"2020 March","Tennessee","Humphreys County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 March","Tennessee","Humphreys County, TN","Depository Institution","Other Other Suspicious Activities","1"
"2020 March","Tennessee","Humphreys County, TN","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 March","Tennessee","Humphreys County, TN","Depository Institution","[Total]","5"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","ACH","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Check","3"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Counterfeit Instrument","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Elder Financial Exploitation","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Other Money Laundering","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Other Other Suspicious Activities","3"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Provided Questionable or False Documentation","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Provided Questionable or False Identification","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Suspicion Concerning the Source of Funds","3"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Suspicious use of multiple transaction locations","3"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","1"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","3"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","5"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Transaction(s) Below CTR Threshold","18"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","Two or More Individuals Working Together","3"
"2020 March","Tennessee","Jackson County, TN","Depository Institution","[Total]","50"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","Elder Financial Exploitation","1"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","Other Other Suspicious Activities","1"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","Other Structuring","1"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","Transaction(s) Below CTR Threshold","3"
"2020 March","Tennessee","Jefferson County, TN","Depository Institution","[Total]","9"
"2020 March","Tennessee","Knox County, TN","Depository Institution","ACH","3"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Advance Fee","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Against Financial Institution Customer(s)","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Check","25"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Counterfeit Instrument","5"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Credit/Debit Card","2"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Elder Financial Exploitation","7"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Exchanges Small Bills for Large Bills or Vice Versa","3"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Forgeries","5"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Funnel Account","11"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Human Trafficking","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Identity Theft","2"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Mail","2"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Mass-Marketing","3"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Multiple Individuals with Same or Similar Identities","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Other Cyber Event","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Other Fraud (Type)","14"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Other Money Laundering","13"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Other Other Suspicious Activities","18"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Other Structuring","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Provided Questionable or False Identification","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicion Concerning the Physical Condition of Funds","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicion Concerning the Source of Funds","43"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicious EFT/Wire Transfers","32"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicious Exchange of Currencies","3"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","2"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicious Use of Multiple Accounts","19"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicious use of multiple transaction locations","59"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","7"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","9"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","25"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Transaction(s) Below BSA Recordkeeping Threshold","1"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Transaction(s) Below CTR Threshold","58"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","6"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Two or More Individuals Working Together","35"
"2020 March","Tennessee","Knox County, TN","Depository Institution","Wire","11"
"2020 March","Tennessee","Knox County, TN","Depository Institution","[Total]","433"
"2020 March","Tennessee","Lake County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 March","Tennessee","Lake County, TN","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 March","Tennessee","Lake County, TN","Depository Institution","[Total]","2"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Changes Spelling or Arrangement of Name","1"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Identity Theft","1"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Provided Questionable or False Documentation","1"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Refused or Avoided Request for Documentation","1"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","3"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Transaction(s) Below CTR Threshold","3"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Two or More Individuals Working Together","1"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","Wire","1"
"2020 March","Tennessee","Lawrence County, TN","Depository Institution","[Total]","13"
"2020 March","Tennessee","Lewis County, TN","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","2"
"2020 March","Tennessee","Lewis County, TN","Depository Institution","Transaction(s) Below CTR Threshold","2"
"2020 March","Tennessee","Lewis County, TN","Depository Institution","[Total]","4"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Funnel Account","1"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Other Other Suspicious Activities","1"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Suspicion Concerning the Source of Funds","2"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Suspicious EFT/Wire Transfers","2"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","1"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Transaction(s) Below CTR Threshold","3"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","Two or More Individuals Working Together","2"
"2020 March","Tennessee","Lincoln County, TN","Depository Institution","[Total]","15"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Check","3"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Counterfeit Instrument","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Funnel Account","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Mail","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Other Other Suspicious Activities","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Suspicion Concerning the Physical Condition of Funds","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Suspicion Concerning the Source of Funds","2"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Suspicious Use of Multiple Accounts","3"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Suspicious use of multiple transaction locations","3"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Suspicious Use of Third-Party Transactors (Straw-Man)","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","Transaction(s) Below CTR Threshold","4"
"2020 March","Tennessee","Loudon County, TN","Depository Institution","[Total]","24"
"2020 March","Tennessee","Macon County, TN","Depository Institution","ACH","2"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Against Financial Institution Customer(s)","1"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Check","2"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Elder Financial Exploitation","1"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Other Money Laundering","1"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Other Other Suspicious Activities","3"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","1"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Transaction(s) Below BSA Recordkeeping Threshold","1"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Transaction(s) Below CTR Threshold","6"
"2020 March","Tennessee","Macon County, TN","Depository Institution","Wire","1"
"2020 March","Tennessee","Macon County, TN","Depository Institution","[Total]","20"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","1"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Check","4"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Counterfeit Instrument","2"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Funnel Account","1"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Other Money Laundering","4"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Other Other Suspicious Activities","3"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Suspicion Concerning the Source of Funds","10"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Suspicious EFT/Wire Transfers","3"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","3"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Suspicious Use of Multiple Accounts","3"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Suspicious use of multiple transaction locations","4"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","1"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","10"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","11"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Transaction(s) Below CTR Threshold","13"
"2020 March","Tennessee","Madison County, TN","Depository Institution","Two or More Individuals Working Together","1"
"2020 March","Tennessee","Madison County, TN","Depository Institution","[Total]","75"
"2020 March","Tennessee","Marion County, TN","Depository Institution","Bribery or Gratuity","1"
"2020 March","Tennessee","Marion County, TN","Depository Institution","Check","1"
"2020 March","Tennessee","Marion County, TN","Depository Institution","Other Fraud (Type)","2"
"2020 March","Tennessee","Marion County, TN","Depository Institution","Suspicious Receipt of Government Payments/Benefits","1"
"2020 March","Tennessee","Marion County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Marion County, TN","Depository Institution","Transaction(s) Below CTR Threshold","12"
"2020 March","Tennessee","Marion County, TN","Depository Institution","Two or More Individuals Working Together","1"
"2020 March","Tennessee","Marion County, TN","Depository Institution","[Total]","19"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Account Takeover","1"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Provided Questionable or False Documentation","2"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Provided Questionable or False Identification","1"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","4"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","3"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Transaction(s) Below CTR Threshold","5"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","Two or More Individuals Working Together","1"
"2020 March","Tennessee","Marshall County, TN","Depository Institution","[Total]","19"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Check","3"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Counterfeit Instrument","2"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Forgeries","1"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Funnel Account","1"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Other Money Laundering","1"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Other Other Suspicious Activities","2"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Refused or Avoided Request for Documentation","1"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Suspicion Concerning the Source of Funds","6"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Suspicious EFT/Wire Transfers","3"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Suspicious Use of Multiple Accounts","1"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Suspicious use of multiple transaction locations","5"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","2"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","6"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","3"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Transaction(s) Below CTR Threshold","9"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Two or More Individuals Working Together","2"
"2020 March","Tennessee","Maury County, TN","Depository Institution","Wire","1"
"2020 March","Tennessee","Maury County, TN","Depository Institution","[Total]","50"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Check","2"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Other Money Laundering","1"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Suspicion Concerning the Source of Funds","3"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","1"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","3"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","Transaction(s) Below CTR Threshold","11"
"2020 March","Tennessee","McMinn County, TN","Depository Institution","[Total]","24"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Check","1"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Elder Financial Exploitation","1"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Other Money Laundering","2"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Suspicious Use of Multiple Accounts","1"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","3"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Transaction(s) Below CTR Threshold","7"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","Two or More Individuals Working Together","1"
"2020 March","Tennessee","McNairy County, TN","Depository Institution","[Total]","18"
"2020 March","Tennessee","Meigs County, TN","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 March","Tennessee","Meigs County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Meigs County, TN","Depository Institution","[Total]","2"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Check","3"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Elder Financial Exploitation","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Funnel Account","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Mail","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Other Money Laundering","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Other Other Suspicious Activities","3"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Suspicion Concerning the Physical Condition of Funds","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Suspicion Concerning the Source of Funds","3"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Suspicious Use of Multiple Accounts","2"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Suspicious use of multiple transaction locations","4"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","2"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Suspicious Use of Third-Party Transactors (Straw-Man)","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","4"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","3"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Transaction(s) Below CTR Threshold","9"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","Wire","1"
"2020 March","Tennessee","Monroe County, TN","Depository Institution","[Total]","41"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Account Takeover","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","2"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Check","7"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Consumer Loan (see instructions)","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Counterfeit Instrument","2"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Credit/Debit Card","2"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Elder Financial Exploitation","5"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Embezzlement/Theft/Disappearance of Funds","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Forgeries","4"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Funnel Account","2"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Mass-Marketing","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Misuse of Position or Self-Dealing","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Other Fraud (Type)","2"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Other Money Laundering","4"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Other Other Suspicious Activities","4"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Provided Questionable or False Documentation","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Suspicion Concerning the Source of Funds","18"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Suspicious EFT/Wire Transfers","10"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","2"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Suspicious Use of Multiple Accounts","8"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Suspicious use of multiple transaction locations","8"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Suspicious Use of Noncash Monetary Instruments","3"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Trade Based Money Laundering/Black Market Peso Exchange","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","11"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","22"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Transaction(s) Below CTR Threshold","19"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","1"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","Two or More Individuals Working Together","13"
"2020 March","Tennessee","Montgomery County, TN","Depository Institution","[Total]","157"
"2020 March","Tennessee","Morgan County, TN","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 March","Tennessee","Morgan County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","2"
"2020 March","Tennessee","Morgan County, TN","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 March","Tennessee","Morgan County, TN","Depository Institution","[Total]","4"
"2020 March","Tennessee","Obion County, TN","Depository Institution","Check","1"
"2020 March","Tennessee","Obion County, TN","Depository Institution","Other Money Laundering","1"
"2020 March","Tennessee","Obion County, TN","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 March","Tennessee","Obion County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","2"
"2020 March","Tennessee","Obion County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","2"
"2020 March","Tennessee","Obion County, TN","Depository Institution","[Total]","7"
"2020 March","Tennessee","Overton County, TN","Depository Institution","Transaction(s) Below CTR Threshold","3"
"2020 March","Tennessee","Overton County, TN","Depository Institution","[Total]","3"
"2020 March","Tennessee","Perry County, TN","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","1"
"2020 March","Tennessee","Perry County, TN","Depository Institution","Transaction(s) Below CTR Threshold","2"
"2020 March","Tennessee","Perry County, TN","Depository Institution","[Total]","3"
"2020 March","Tennessee","Pickett County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Pickett County, TN","Depository Institution","Transaction(s) Below CTR Threshold","3"
"2020 March","Tennessee","Pickett County, TN","Depository Institution","Two or More Individuals Working Together","1"
"2020 March","Tennessee","Pickett County, TN","Depository Institution","[Total]","5"
"2020 March","Tennessee","Putnam County, TN","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 March","Tennessee","Putnam County, TN","Depository Institution","Two or More Individuals Working Together","1"
"2020 March","Tennessee","Putnam County, TN","Depository Institution","Wire","1"
"2020 March","Tennessee","Putnam County, TN","Depository Institution","[Total]","3"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Check","1"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Counterfeit Instrument","1"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Forgeries","1"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Identity Theft","1"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Suspicion Concerning the Source of Funds","3"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","5"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Transaction(s) Below CTR Threshold","4"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","Wire","1"
"2020 March","Tennessee","Rhea County, TN","Depository Institution","[Total]","19"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Other Other Suspicious Activities","1"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Suspicion Concerning the Physical Condition of Funds","1"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Suspicion Concerning the Source of Funds","3"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Suspicious Use of Multiple Accounts","1"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 March","Tennessee","Roane County, TN","Depository Institution","Transaction(s) Below CTR Threshold","5"
"2020 March","Tennessee","Roane County, TN","Depository Institution","[Total]","14"
"2020 March","Tennessee","Robertson County, TN","Depository Institution","Check","1"
"2020 March","Tennessee","Robertson County, TN","Depository Institution","Counterfeit Instrument","1"
"2020 March","Tennessee","Robertson County, TN","Depository Institution","Exchanges Small Bills for Large Bills or Vice Versa","1"
